yORF	gene_name	GFP_tagged	GFP_visualized	TAP_visualized	abundance	error	localization_summary	ambiguous	mitochondrion	vacuole	spindle_pole	cell_periphery	punctate_composite	vacuolar_membrane	ER	nuclear_periphery	endosome	bud_neck	microtubule	Golgi	late_Golgi	peroxisome	actin	nucleolus	cytoplasm	ER_to_Golgi	early_Golgi	lipid_particle	nucleus	bud
YDR186C		tagged	visualized	TAP visualized	195	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YDR189W	SLY1	tagged	visualized	TAP visualized	5780	1600	"Golgi,early Golgi"	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	T	F	F	F
YDR190C	RVB1	tagged	visualized	TAP visualized	11600	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YDR191W	HST4	tagged	visualized	TAP visualized	377	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YDR193W		tagged	visualized	not TAP visualized	not visualized	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YDR194C	MSS116	tagged	visualized	TAP visualized	10300	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR195W	REF2	tagged	visualized	TAP visualized	7450	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YDR196C		tagged	visualized	TAP visualized	1660	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR197W	CBS2	tagged	visualized	TAP visualized	2140	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR200C	VPS64	tagged	visualized	TAP visualized	377	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YDR201W	SPC19	tagged	visualized	TAP visualized	639	NA	spindle pole	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR202C	RAV2	tagged	visualized	TAP visualized	2860	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR204W	COQ4	tagged	visualized	not TAP visualized	not visualized	NA	"ambiguous,mitochondrion"	T	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR205W	MSC2	tagged	visualized	TAP visualized	1070	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR207C	UME6	tagged	visualized	TAP visualized	217	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YDR208W	MSS4	tagged	visualized	not TAP visualized	not visualized	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YDR210W		tagged	visualized	TAP visualized	13100	NA	cell periphery	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR211W	GCD6	tagged	visualized	TAP visualized	33800	6700	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YDR213W	UPC2	tagged	visualized	TAP visualized	752	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YDR214W	AHA1	tagged	visualized	TAP visualized	13900	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YDR216W	ADR1	tagged	visualized	TAP visualized	low signal	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YDR217C	RAD9	tagged	visualized	TAP visualized	400	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YDR219C		tagged	visualized	TAP visualized	1360	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR221W		tagged	visualized	TAP visualized	9760	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR222W		tagged	visualized	TAP visualized	1010	NA	punctate composite	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR224C	HTB1	tagged	visualized	TAP visualized	technical problem	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YDR225W	HTA1	tagged	visualized	not TAP visualized	not visualized	NA	vacuole	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR226W	ADK1	tagged	visualized	TAP visualized	123000	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YDR227W	SIR4	tagged	visualized	TAP visualized	technical problem	NA	nuclear periphery	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR228C	PCF11	tagged	visualized	TAP visualized	2800	753	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YDR229W	IVY1	tagged	visualized	TAP visualized	2840	NA	vacuolar membrane	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR231C	COX20	tagged	visualized	TAP visualized	low signal	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR232W	HEM1	tagged	visualized	TAP visualized	22600	2660	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR233C	RTN1	tagged	visualized	TAP visualized	37100	NA	"ER,cell periphery"	F	F	F	F	T	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR234W	LYS4	tagged	visualized	TAP visualized	7350	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR235W	PRP42	tagged	visualized	TAP visualized	1730	80.3	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YDR236C	FMN1	tagged	visualized	TAP visualized	830	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YDR238C	SEC26	tagged	visualized	TAP visualized	26000	NA	"Golgi,early Golgi"	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	T	F	F	F
YDR239C		tagged	visualized	TAP visualized	155	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YDR240C	SNU56	tagged	visualized	TAP visualized	361	58.1	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YDR243C	PRP28	tagged	visualized	TAP visualized	technical problem	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YDR244W	PEX5	tagged	visualized	TAP visualized	2070	NA	peroxisome	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F
YDR245W	MNN10	tagged	visualized	TAP visualized	6280	NA	Golgi	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F
YDR246W	TRS23	tagged	visualized	TAP visualized	3130	NA	late Golgi	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F
YDR247W	VHS1	tagged	visualized	TAP visualized	784	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YDR248C		tagged	visualized	TAP visualized	504	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YDR250C		tagged	visualized	TAP visualized	low signal	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YDR251W	PAM1	tagged	visualized	TAP visualized	300	NA	"ambiguous,bud neck,bud"	T	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	T
YDR252W	BTT1	tagged	visualized	TAP visualized	1820	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YDR253C	MET32	tagged	visualized	TAP visualized	technical problem	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YDR254W	CHL4	tagged	visualized	TAP visualized	606	NA	microtubule	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F
YDR257C	RMS1	tagged	visualized	TAP visualized	4010	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YDR258C	HSP78	tagged	visualized	TAP visualized	2990	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR261C	EXG2	tagged	visualized	TAP visualized	2410	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR262W		tagged	visualized	TAP visualized	4850	NA	vacuole	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR264C	AKR1	tagged	visualized	TAP visualized	4070	NA	"Golgi,early Golgi"	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	T	F	F	F
YDR265W	PEX10	tagged	visualized	not TAP visualized	not visualized	NA	peroxisome	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F
YDR266C		tagged	visualized	TAP visualized	1910	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YDR267C		tagged	visualized	TAP visualized	5640	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YDR268W	MSW1	tagged	visualized	TAP visualized	672	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR270W	CCC2	tagged	visualized	not TAP visualized	not visualized	NA	punctate composite	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR272W	GLO2	tagged	visualized	TAP visualized	13700	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YDR275W	BSC2	tagged	visualized	TAP visualized	922	NA	lipid particle	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F
YDR276C	PMP3	tagged	visualized	TAP visualized	technical problem	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR279W	RNH202	tagged	visualized	TAP visualized	2340	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YDR280W	RRP45	tagged	visualized	TAP visualized	4800	NA	"nucleolus,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	T	F
YDR281C	PHM6	tagged	visualized	not TAP visualized	not visualized	NA	vacuole	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR283C	GCN2	tagged	visualized	TAP visualized	279	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YDR284C	DPP1	tagged	visualized	TAP visualized	3040	NA	vacuolar membrane	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR288W		tagged	visualized	TAP visualized	2540	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YDR291W		tagged	visualized	TAP visualized	259	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YDR293C	SSD1	tagged	visualized	TAP visualized	1100	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YDR294C	DPL1	tagged	visualized	TAP visualized	13100	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR295C	PLO2	tagged	visualized	TAP visualized	1500	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YDR296W	MHR1	tagged	visualized	TAP visualized	2610	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR297W	SUR2	tagged	visualized	TAP visualized	54300	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR298C	ATP5	tagged	visualized	TAP visualized	32400	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR299W	BFR2	tagged	visualized	TAP visualized	15400	NA	nucleolus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F
YDR300C	PRO1	tagged	visualized	TAP visualized	10400	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YDR301W	CFT1	tagged	visualized	TAP visualized	639	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YDR302W	GPI11	tagged	visualized	TAP visualized	technical problem	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR303C	RSC3	tagged	visualized	TAP visualized	1750	11.5	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YDR304C	CPR5	tagged	visualized	not TAP visualized	not visualized	NA	vacuole	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR305C	HNT2	tagged	visualized	TAP visualized	1920	NA	"cytoplasm,mitochondrion,nucleus"	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YDR307W		tagged	visualized	TAP visualized	technical problem	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR308C	SRB7	tagged	visualized	TAP visualized	1390	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YDR309C	GIC2	tagged	visualized	TAP visualized	1130	NA	"ambiguous,cytoplasm,bud"	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	T
YDR310C	SUM1	tagged	visualized	TAP visualized	149	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YDR311W	TFB1	tagged	visualized	TAP visualized	5150	119	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YDR312W	SSF2	tagged	visualized	TAP visualized	1350	NA	"nucleolus,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	T	F
YDR313C	PIB1	tagged	visualized	TAP visualized	195	NA	"ambiguous,endosome"	T	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR314C		tagged	visualized	TAP visualized	78.6	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YDR316W		tagged	visualized	TAP visualized	504	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR318W	MCM21	tagged	visualized	TAP visualized	952	NA	"nucleus,spindle pole"	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YDR319C		tagged	visualized	TAP visualized	low signal	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR320C	SWA2	tagged	visualized	TAP visualized	768	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR320C-A	DAD4	tagged	visualized	TAP visualized	967	NA	spindle pole	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR322C-A	TIM11	tagged	visualized	TAP visualized	4590	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR322W	MRPL35	tagged	visualized	TAP visualized	7700	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR323C	PEP7	tagged	visualized	TAP visualized	768	NA	endosome	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR324C	UTP4	tagged	visualized	TAP visualized	5440	NA	nucleolus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F
YDR325W	YCG1	tagged	visualized	TAP visualized	1920	NA	"nucleolus,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	T	F
YDR326C		tagged	visualized	TAP visualized	low signal	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR328C	SKP1	tagged	visualized	not TAP visualized	not visualized	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YDR329C	PEX3	tagged	visualized	TAP visualized	1400	NA	peroxisome	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F
YDR330W		tagged	visualized	TAP visualized	6630	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YDR331W	GPI8	tagged	visualized	TAP visualized	1560	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR332W		tagged	visualized	TAP visualized	172	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR333C		tagged	visualized	TAP visualized	339	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YDR334W	SWR1	tagged	visualized	TAP visualized	656	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YDR335W	MSN5	tagged	visualized	TAP visualized	3500	NA	"cytoplasm,nuclear periphery,nucleus"	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YDR337W	MRPS28	tagged	visualized	TAP visualized	6960	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR338C		tagged	visualized	TAP visualized	195	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR343C	HXT6	tagged	visualized	not TAP visualized	not visualized	NA	cell periphery	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR344C		tagged	visualized	not TAP visualized	not visualized	NA	"ambiguous,punctate composite"	T	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR345C	HXT3	tagged	visualized	TAP visualized	37200	NA	"cell periphery,vacuole"	F	F	T	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR346C	SGI1	tagged	visualized	TAP visualized	45200	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YDR347W	MRP1	tagged	visualized	TAP visualized	2840	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR348C		tagged	visualized	TAP visualized	1480	NA	"bud neck,cell periphery"	F	F	F	F	T	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F
YDR349C	YPS7	tagged	visualized	TAP visualized	149	NA	"ER,cytoplasm"	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YDR350C	TCM10	tagged	visualized	not TAP visualized	not visualized	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR352W		tagged	visualized	TAP visualized	6350	NA	vacuolar membrane	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR353W	TRR1	tagged	visualized	TAP visualized	292000	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YDR354W	TRP4	tagged	visualized	TAP visualized	1760	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YDR356W	SPC110	tagged	visualized	TAP visualized	279	NA	spindle pole	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR357C		tagged	visualized	TAP visualized	589	NA	punctate composite	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR358W	GGA1	tagged	visualized	TAP visualized	656	NA	"cytoplasm,late Golgi"	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F	F	F	F	F
YDR361C	BCP1	tagged	visualized	TAP visualized	4590	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YDR362C	TFC6	tagged	visualized	TAP visualized	1130	346	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YDR363W	ESC2	tagged	visualized	TAP visualized	1890	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YDR363W-A	SEM1	tagged	visualized	TAP visualized	5590	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YDR364C	CDC40	tagged	visualized	TAP visualized	1630	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YDR365C		tagged	visualized	TAP visualized	656	NA	"nucleolus,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	T	F
YDR367W		tagged	visualized	TAP visualized	3420	NA	"punctate composite,Golgi,early Golgi"	F	F	F	F	F	T	F	F	F	F	F	F	T	F	F	F	F	F	F	T	F	F	F
YDR368W	YPR1	tagged	visualized	TAP visualized	14100	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YDR369C	XRS2	tagged	visualized	TAP visualized	358	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YDR370C		tagged	visualized	TAP visualized	1040	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YDR371W	CTS2	tagged	visualized	TAP visualized	3050	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YDR372C	VPS74	tagged	visualized	TAP visualized	1850	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YDR373W	FRQ1	tagged	visualized	TAP visualized	7160	NA	punctate composite	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR375C	BCS1	tagged	visualized	TAP visualized	1990	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR376W	ARH1	tagged	visualized	TAP visualized	1600	426	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR377W	ATP17	tagged	visualized	TAP visualized	14600	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR379C-A		tagged	visualized	TAP visualized	861	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR379W	RGA2	tagged	visualized	TAP visualized	254	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YDR380W	ARO10	tagged	visualized	TAP visualized	6560	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YDR381W	YRA1	tagged	visualized	not TAP visualized	not visualized	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YDR382W	RPP2B	tagged	visualized	TAP visualized	602000	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YDR384C	ATO3	tagged	visualized	TAP visualized	technical problem	NA	"cell periphery,vacuole"	F	F	T	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR385W	EFT2	tagged	visualized	TAP visualized	78100	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YDR388W	RVS167	tagged	visualized	TAP visualized	14600	NA	actin	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F
YDR389W	SAC7	tagged	visualized	TAP visualized	1420	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YDR390C	UBA2	tagged	visualized	TAP visualized	18800	3070	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YDR391C		tagged	visualized	TAP visualized	6020	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YDR392W	SPT3	tagged	visualized	TAP visualized	1710	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YDR394W	RPT3	tagged	visualized	not TAP visualized	not visualized	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YDR395W	SXM1	tagged	visualized	TAP visualized	16300	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YDR397C	NCB2	tagged	visualized	TAP visualized	2950	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YDR398W	UTP5	tagged	visualized	TAP visualized	33100	NA	nucleolus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F
YDR399W	HPT1	tagged	visualized	TAP visualized	36500	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YDR400W	URH1	tagged	visualized	TAP visualized	technical problem	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
